Item No.,Client Item No.,Product Name,Type of Product,Stock Qnty,Class,End Connection,Material,Trim Material,Spare Parts,DWG Status,Qty (PCS)
25,70,Ball Valve,Trunnion Side Entry-2 PCS,4,600,Flanged RF,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,7
26,75,Ball Valve,Trunnion Side Entry-2 PCS,4,900,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,29
27,76,Ball Valve,Trunnion Side Entry-2 PCS,4,900,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,13
28,74,Ball Valve,Trunnion Side Entry-2 PCS,4,900,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,15
29,94,Ball Valve,Trunnion Side Entry-2 PCS,6,150,Flanged RF,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,4
30,93,Ball Valve,Trunnion Side Entry-2 PCS,6,150,Flanged RF,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,7
31,86,Ball Valve,Trunnion Side Entry-2 PCS,6,600,Flanged RF,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,12
32,85,Ball Valve,Trunnion Side Entry-2 PCS,6,600,Flanged RF,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,28
33,84,Ball Valve,Trunnion Side Entry-2 PCS,6,600,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Deleted,0
34,92,Ball Valve,Trunnion Side Entry-2 PCS,6,900,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,151
35,89,Ball Valve,Trunnion Side Entry-2 PCS,6,900,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,23
36,91,Ball Valve,Trunnion Side Entry-2 PCS,6,900,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,28
37,87,Ball Valve,Trunnion Side Entry-2 PCS,6,900,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,85
38,88,Ball Valve,Trunnion Side Entry-2 PCS,6,900,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,7
39,100,Ball Valve,Trunnion Side Entry-2 PCS,8,150,Flanged RF,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,18
40,99,Ball Valve,Trunnion Side Entry-2 PCS,8,150,Flanged RF,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seat 2 for each type, size and material",Approved,4
41,102,Ball Valve,Trunnion Side Entry-2 PCS,10,150,Flanged RF,A105 N,***,"set of changeable inner parts bonnet gasket and stem packing for each type, size and material",Approved,11
42,103,Ball Valve,Trunnion Side Entry-2 PCS,10,600,Flanged RTJ,A105 N,***,"set of changeable inner parts bonnet gasket and stem packing for each type, size and material",Approved,4
43,107,Ball Valve,Trunnion Side Entry-2 PCS,12,900,Flanged RTJ,A105 N,***,"set inter-changeable inner parts bonnet gasket and stem packing for each type, size and material",Approved with comment,2
44,110,Ball Valve,Trunnion Side Entry-2 PCS,14,150,Flanged RF,A105 N,***,"set inter-changeable inner parts bonnet gasket and stem packing for each type, size and material",Approved,2
45,118,Ball Valve,Trunnion Side Entry-2 PCS,14,150,Flanged RF,A105 N,***,"set inter-changeable inner parts bonnet gasket and stem packing for each type, size and material",Approved,2
46,64,Ball Valve,Trunnion Side Entry-2 PCS,16,900,Flanged RTJ,A105 N,***,"set inter-changeable inner parts bonnet gasket and stem packing for each type, size and material",Deleted,2
64,113,Check Valve,Trunnion Side Entry-2 PCS,16,900,Flanged RTJ,A105 N,***,"set inter-changeable inner parts bonnet gasket and stem packing for each type, size and material",Deleted,2
65,117,Check Valve,BC Piston Type,1,900,Flanged RTJ,A105 N,Trim No.5-5-7 Seal&Disc:Wedge-316L,bonnet gasket 10%,Approved with comment,26
66,114,Check Valve,BC Piston Type,1,800,SW,A105,Trim No.5-5-7 Seal&Disc:Wedge-316L,bonnet gasket 10%,Approved with comment,7
68,122,Swing Check Valve,BC,2,150,Flanged RF,A216 WCB,Trim No.13% Cr Seats: 316,"1-gland packing and bonnet gasket 10%; 2-set of changeable inner parts including Hinge Pin and Disc for each type, size and material",Approved with comment,9
69,123,Swing Check Valve,BC,2,900,Flanged RTJ,A216 WCB,Trim No.5-5-7 Seal&Disc:Wedge-316L,"1-gland packing and bonnet gasket 10%; 2-set of changeable inner parts including Hinge Pin and Disc for each type, size and material",Approved with comment,32
70,125,Swing Check Valve,BC,2-3-10,API 10000,Flanged RTJ,A105 N,***,1-gland packing and bonnet gasket 10%; 2-set of changeable gaskets for each API class material,Approved with comment,55
71,138,Swing Check Valve,BC,2,150,Flanged FF,B-148 UNS C95800,BRONZE,"1-gland packing and bonnet gasket 10%; 2-set of changeable inner parts including Hinge Pin and Disc for each type, size and material",Approved with comment,4
